id,clientip,datetime_confirmed,method_GET,request,status_code,size,referer,user_agent,referer_present
42,178.253.33.51,2019-01-22T03:56:24.000+05:30,GET,/image/32574namepr465at2jpgwhmax HTTP/11,200,45.71,"\"https://www.zanbil.ir/m/product/32574/62991/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%A7%D8%B5%D9%84%D8%A7%D8%AD-%D8%B5%D9%88%D8%B1%D8%AA-%D9%BE%D8%B1%D9%86%D8%B3%D9%84%DB%8C-%D9%85%D8%AF%D9%84-PR465AT\"","\"Mozilla/5.0 (Linux; Android 5.1",Y
43,2.177.12.140,2019-01-22T03:56:24.000+05:30,GET,/static/images/amp/blogpng HTTP/11,200,3.77,"\"https://www.zanbil.ir/m/product/33606/%D8%AA%D9%84%D9%88%DB%8C%D8%B2%DB%8C%D9%88%D9%86-%D8%A7%D9%84-%D8%A7%DB%8C-%D8%AF%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-55NU8950-Ultra-HD-4K\"","\"Mozilla/5.0 (Android 7.1.1;",Y
44,2.177.12.140,2019-01-22T03:56:24.000+05:30,POST,/static/images/amp/instagrampng HTTP/11,200,6.98,"\"https://www.zanbil.ir/m/product/33606/%D8%AA%D9%84%D9%88%DB%8C%D8%B2%DB%8C%D9%88%D9%86-%D8%A7%D9%84-%D8%A7%DB%8C-%D8%AF%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-55NU8950-Ultra-HD-4K\"","\"Mozilla/5.0 (Android 7.1.1;",Y
45,2.177.12.140,2019-01-22T03:56:24.000+05:30,GET,/static/images/amp/telegrampng HTTP/11,200,4.75,"\"https://www.zanbil.ir/m/product/33606/%D8%AA%D9%84%D9%88%DB%8C%D8%B2%DB%8C%D9%88%D9%86-%D8%A7%D9%84-%D8%A7%DB%8C-%D8%AF%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-55NU8950-Ultra-HD-4K\"","\"Mozilla/5.0 (Android 7.1.1;",Y
46,66.249.66.91,2019-01-22T03:56:24.000+05:30,GET,/image/63014/productModel/100x100 HTTP/11,200,2.51,"","",N
47,2.177.12.140,2019-01-22T03:56:25.000+05:30,GET,/static/images/amp/thirdparty/footermobilepng HTTP/11,200,61.42,"\"https://www.zanbil.ir/m/product/33606/%D8%AA%D9%84%D9%88%DB%8C%D8%B2%DB%8C%D9%88%D9%86-%D8%A7%D9%84-%D8%A7%DB%8C-%D8%AF%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-55NU8950-Ultra-HD-4K\"","\"Mozilla/5.0 (Android 7.1.1;",Y
48,2.177.12.140,2019-01-22T03:56:25.000+05:30,GET,/image/33618/productType/120x90 HTTP/11,200,10.44,"\"https://www.zanbil.ir/m/product/33606/%D8%AA%D9%84%D9%88%DB%8C%D8%B2%DB%8C%D9%88%D9%86-%D8%A7%D9%84-%D8%A7%DB%8C-%D8%AF%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-55NU8950-Ultra-HD-4K\"","\"Mozilla/5.0 (Android 7.1.1;",Y
49,2.177.12.141,2019-01-22T04:56:25.000+05:30,GET,/image/64272/productModel/150x150 HTTP/11,200,3.68,"\"https://www.zanbil.ir/m/product/33606/%D8%AA%D9%84%D9%88%DB%8C%D8%B2%DB%8C%D9%88%D9%86-%D8%A7%D9%84-%D8%A7%DB%8C-%D8%AF%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-55NU8950-Ultra-HD-4K\"","\"Mozilla/5.0 (Android 7.1.1;",Y
50,2.177.12.140,2019-01-22T03:56:26.000+05:30,GET,/image/64648/productModel/150x150 HTTP/11,200,5.89,"\"https://www.zanbil.ir/m/product/33606/%D8%AA%D9%84%D9%88%DB%8C%D8%B2%DB%8C%D9%88%D9%86-%D8%A7%D9%84-%D8%A7%DB%8C-%D8%AF%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-55NU8950-Ultra-HD-4K\"","\"Mozilla/5.0 (Android 7.1.1;",Y
51,5.78.198.52,2019-01-22T03:56:26.000+05:30,POST,/m/updateVariation__amp_source_originhttps3A2F2Fwwwzanbilir HTTP/11,200,0.17,"\"https://www.zanbil.ir/m/product/33978/64784/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-Galaxy-A9-%282018%29-Dual-128GB-%28SM-A920%29\"","\"Mozilla/5.0 (Linux; Android 8.0.0",Y
